DATA_LANCAMENTO_OBRA,TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,CPB_ROE,PUBLICO_TOTAL,RENDA_TOTAL,RAZAO_SOCIAL_DISTRIBUIDORA,REGISTRO_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA
2017-01-26,COLLATERAL BEAUTY,FICÇÃO,ESTADOS UNIDOS,E1600769400000,508380.0,8123787.0,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
2017-01-26,RESIDENT EVIL 6: THE FINAL CHAPTER,FICÇÃO,CANADÁ,E1500758500000,1214555.0,18924216.2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2017-01-26,RAY,FICÇÃO,ALEMANHA,E1600764200000,6296.0,80891.16,MARES FILMES EIRELI,6418.0,07.257.887/0001-47
2017-01-26,BALLERINA,ANIMAÇÃO,FRANÇA,E1600678400000,549291.0,7639753.22,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2017-01-26,HACKSAW RIDGE,FICÇÃO,ESTADOS UNIDOS,E1600757700000,271736.0,4894645.72,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2017-01-26,YA TAYR EL TAYER,FICÇÃO,INGLATERRA,E1600666200000,2649.0,35030.13,ANTONIO FERNANDES FILMES LTDA,532.0,02.668.665/0001-01
2017-01-26,SLACK BAY,FICÇÃO,FRANÇA,E1600750700000,2969.0,32533.65,RJ DISTRIBUIDORA DE FILMES LTDA,5963.0,00.146.442/0001-40
2017-01-26,A DOG´S PURPOSE,FICÇÃO,ESTADOS UNIDOS,E1600766800000,512313.0,6858195.0,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,33787.0,24.810.280/0001-61
2017-01-26,MAX STEEL,FICÇÃO,ESTADOS UNIDOS,E1600683100000,51289.0,676160.06,WMIX DISTRIBUIDORA LTDA.,1935.0,03.918.609/0001-32
2017-01-26,LA MORT DE LOUIS XIV,FICÇÃO,ESPANHA,E1600735200000,5212.0,70603.89,ZETA FILMES LTDA,22936.0,02.469.679/0001-98
2017-01-25,"SINFONIA PAULISTANA, UM NOVO OLHAR",DOCUMENTÁRIO,BRASIL,B1301888800000,52.0,1468.5,OKA COMUNICAÇÕES LTDA,1856.0,03.117.764/0001-50
2017-01-19,OS PENETRAS 2 - QUEM DÁ MAIS?,FICÇÃO,BRASIL,B1600784700000,401960.0,5594424.97,H2O DISTRIBUIDORA DE FILMES LTDA,21541.0,15.372.472/0001-42
2017-01-19,AXÉ - CANTO DO POVO DE UM LUGAR,DOCUMENTÁRIO,BRASIL,B1600770800000,32053.0,451907.65,ZAHIR PRODUÇÕES AUDIOVISUAIS LTDA - ME,34269.0,21.859.901/0001-03
2017-01-19,OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD,FICÇÃO,BRASIL,B1600738500000,95129.0,1152692.37,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,4904.0,07.616.202/0001-01
2017-01-19,LA LA LAND,FICÇÃO,ESTADOS UNIDOS,E1600677400000,1399869.0,23816101.99,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
